 Pre5,Pre10, Pre40, Rec5, Rec10, Rec40, AUC5, AUC10, AUC40, MAP5, MAP10, MAP40, NDCG5, NDCG10,NDCG40,MRR5, MRR10,MRR40, numFactors, numIter, lrate, maxlrate, regB, regU, regI, regC, isBoldDriver, TrainTime, TestTime,
0.160163,0.127236,0.056504,0.311826,0.467892,1.000000,0.407859,0.543248,0.573973,0.193448,0.240623,0.282748,0.257518,0.324697,0.461963,0.328794,0.346022,0.364268,8,84,0.02,-1.0,1.0E-4,1.0E-4,1.0E-4,0.001,true,'00:00','00:00',
0.107752,0.089147,0.049903,0.211609,0.403488,1.000000,0.380491,0.411910,0.520156,0.111760,0.141927,0.185357,0.151778,0.221838,0.377114,0.166796,0.196793,0.218735,8,85,0.02,-1.0,1.0E-4,1.0E-4,1.0E-4,0.001,true,'00:00','00:00',
0.117424,0.087121,0.050758,0.241670,0.368729,1.000000,0.416667,0.483499,0.515483,0.141080,0.169757,0.215005,0.184932,0.234064,0.397133,0.208270,0.226668,0.251357,8,86,0.02,-1.0,1.0E-4,1.0E-4,1.0E-4,0.001,true,'00:00','00:00',
0.113636,0.108712,0.055398,0.217668,0.437238,1.000000,0.360480,0.407599,0.539964,0.103747,0.151223,0.195329,0.148146,0.236156,0.384614,0.164899,0.198374,0.219042,8,87,0.02,-1.0,1.0E-4,1.0E-4,1.0E-4,0.001,true,'00:00','00:00',
0.111628,0.087984,0.054457,0.199109,0.302008,1.000000,0.387920,0.494759,0.450305,0.102652,0.136391,0.182851,0.146597,0.190953,0.368789,0.176357,0.186462,0.215647,8,88,0.02,-1.0,1.0E-4,1.0E-4,1.0E-4,0.001,true,'00:00','00:00',
0.110078,0.085271,0.048837,0.248410,0.391602,1.000000,0.434755,0.504845,0.495306,0.121009,0.153882,0.195076,0.168613,0.224989,0.380397,0.175000,0.196695,0.219990,8,89,0.02,-1.0,1.0E-4,1.0E-4,1.0E-4,0.001,true,'00:00','00:00',
0.147287,0.101550,0.051744,0.339376,0.433598,1.000000,0.413437,0.556036,0.554518,0.198916,0.227048,0.268412,0.259894,0.301291,0.447503,0.290827,0.304051,0.323232,8,90,0.02,-1.0,1.0E-4,1.0E-4,1.0E-4,0.001,true,'00:00','00:00',
0.130303,0.099621,0.050758,0.253633,0.386685,1.000000,0.399621,0.493428,0.548860,0.152223,0.185917,0.231244,0.199338,0.254996,0.411175,0.231818,0.251324,0.274889,8,91,0.02,-1.0,1.0E-4,1.0E-4,1.0E-4,0.001,true,'00:00','00:00',
0.140000,0.113333,0.051354,0.300663,0.461048,1.000000,0.425694,0.524458,0.561479,0.169170,0.213988,0.252983,0.225127,0.293046,0.429693,0.249444,0.271528,0.291432,8,92,0.02,-1.0,1.0E-4,1.0E-4,1.0E-4,0.001,true,'00:00','00:00',
0.117094,0.097436,0.052885,0.202479,0.358344,1.000000,0.367521,0.478404,0.493579,0.124476,0.164505,0.212060,0.166329,0.231960,0.396334,0.206268,0.226809,0.250550,8,93,0.02,-1.0,1.0E-4,1.0E-4,1.0E-4,0.001,true,'00:00','00:00',
0.105185,0.073704,0.048426,0.195882,0.299788,1.000000,0.375926,0.483951,0.475117,0.106684,0.129137,0.177900,0.145177,0.186188,0.364352,0.165185,0.184342,0.211821,8,94,0.02,-1.0,1.0E-4,1.0E-4,1.0E-4,0.001,true,'00:00','00:00',
0.139837,0.110569,0.054776,0.295771,0.413765,1.000000,0.432249,0.542925,0.554547,0.186212,0.225276,0.270896,0.242851,0.296659,0.448710,0.302100,0.314634,0.338107,8,95,0.02,-1.0,1.0E-4,1.0E-4,1.0E-4,0.001,true,'00:00','00:00',
